,producto,precio_unitario,link_oferta
0,Vino Blend Vii Canciller Bot 1125 Ltr,"Precio por 1 Litro : $1,22",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-vino-blend-vii-canciller-bot-1125-ltr/_/A-00501775-00501775-200
1,Cinta Transparente Scotch 500 12 Mm 25 M 1 . . .,"Precio por 1 Metro : $5,56",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cinta-transparente-scotch-500-12-mm-25-m-1-unidad/_/A-00178835-00178835-200
2,Te Negro Clasico Pajaro Azul 25u.,"Precio por 1 Unidad : $5,67",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-te-negro-clasico-pajaro-azul-25u/_/A-00559641-00559641-200
3,Film Separador SEPARATA Para Freezer 19x25 . . .,"Precio por 1 Unidad : $5,99",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-film-separador-separata-para-freezer-19x25-bol-100-uni/_/A-00101416-00101416-200
4,Te . Rosamonte Cja 50 Uni,"Precio por 1 Unidad : $6,13",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-te--rosamonte-cja-50-uni/_/A-00011296-00011296-200
5,Servilletas Blancas Felpita Paq 140 Uni,"Precio por 1 Unidad : $6,77",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-servilletas-blancas-felpita-paq-140-uni/_/A-00526650-00526650-200
6,Servilletas FELPITA Paquete 70 Unidades,"Precio por 1 Unidad : $6,82",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-servilletas-felpita-paquete-70-unidades/_/A-00464722-00464722-200
7,Te X50 Saq Filtro Taragui Est 50 Uni,"Precio por 1 Unidad : $7,15",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-te-x50-saq-filtro-taragui-est-50-uni/_/A-00511775-00511775-200
8,.Tarugos Plasticos De 5 Mm. -23 -,"Precio por 1 Unidad : $7,17",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-tarugos-plasticos-de-5-mm--23--/_/A-00049749-00049749-200
9,Servilletas Blancas Felpita Paq 70 Uni,"Precio por 1 Unidad : $7,87",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-servilletas-blancas-felpita-paq-70-uni/_/A-00526649-00526649-200
10,Papel Glace Lustre X 10 Hojas,"Precio por 1 Unidad : $7,90",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-papel-glace-lustre-x-10-hojas/_/A-00178823-00178823-200
11,Servilletas FELPITA De Mesa 33x30 Paquete . . .,"Precio por 1 Unidad : $7,92",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-servilletas-felpita-de-mesa-33x30-paquete-40-unidades/_/A-00267862-00267862-200
12,Cinta De Embalar THS 37 M Transparente,"Precio por 1 Metro : $8,09",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cinta-de-embalar-ths-37-m-transparente/_/A-00137069-00137069-200
13,Cinta De Embalar THS 37 M Marrón,"Precio por 1 Metro : $10,25",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cinta-de-embalar-ths-37-m-marron/_/A-00137068-00137068-200
14,Papel Glace Luma Metalizado 10 Hojas,"Precio por 1 Unidad : $11,90",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-papel-glace-luma-metalizado-10-hojas/_/A-00178821-00178821-200
